round,niche,temp,moist_level,sample_no,dry_mass,actual_moist_perc,flux_nmol_C2H4_g_hr,flux_gN_g_h
1,Wood,5,100,2,1.92,230.73,-0.137,-6.38817E-10
1,Wood,5,100,3,1.74,248.28,-0.151,-7.04902E-10
1,Wood,5,100,4,2.27,32.60,-0.116,-5.40321E-10
1,Wood,5,100,5,1.87,197.86,-0.136,-6.34693E-10
1,Wood,5,150,1,2.79,118.28,-0.088,-4.10556E-10
1,Wood,5,150,2,1.27,168.50,-0.163,-7.61554E-10
1,Wood,5,150,3,2.46,273.17,-0.093,-4.35419E-10
1,Wood,5,150,4,2.97,40.40,-0.088,-4.12973E-10
1,Wood,5,150,5,2.19,248.40,-0.120,-5.60059E-10
1,Lichen,15,25,10,2.61,37.93,0.817,3.81655E-09
1,Lichen,15,25,11,2.08,37.02,0.198,9.25144E-10
1,Lichen,15,25,7,1.21,84.30,21.168,9.88319E-08
1,Lichen,15,25,8,3.68,30.98,1.243,5.80135E-09
1,Lichen,15,25,9,1.1,60.91,0.096,4.47219E-10
1,Lichen,15,50,10,4.89,49.08,-0.042,-1.96499E-10
1,Lichen,15,50,11,4.57,-44.42,0.096,4.503E-10
1,Lichen,15,50,7,2.45,66.53,69.358,3.23823E-07
1,Lichen,15,50,8,10.53,24.12,0.181,8.46582E-10
1,Lichen,15,50,9,3.07,3.26,-0.037,-1.71714E-10
1,Lichen,15,100,10,2.47,1.21,-0.089,-4.13981E-10
1,Lichen,15,100,11,1.9,57.37,-0.013,-6.03318E-11
1,Lichen,15,100,7,3.57,42.58,-0.060,-2.78154E-10
1,Lichen,15,100,8,1.77,33.33,1.197,5.5899E-09
1,Lichen,15,100,9,4.82,28.42,-0.021,-9.66543E-11
1,Lichen,15,150,10,1.34,126.12,-0.150,-6.99547E-10
1,Lichen,15,150,11,3.62,91.71,0.260,1.21256E-09
1,Lichen,15,150,7,3.21,72.27,0.978,4.5644E-09
1,Lichen,15,150,8,3.26,69.02,0.044,2.04179E-10
1,Lichen,15,150,9,2.66,88.35,-0.072,-3.33965E-10
1,Litter,15,25,10,1.22,59.84,-0.182,-8.48874E-10
1,Litter,15,25,11,1.85,55.14,-0.135,-6.29771E-10
1,Litter,15,25,7,1.7,60.00,-0.101,-4.6929E-10
1,Litter,15,25,8,1.29,27.13,-0.167,-7.80789E-10
1,Litter,15,25,9,1.62,127.16,-0.173,-8.0627E-10
1,Litter,15,50,10,2.04,32.84,-0.077,-3.58905E-10
1,Litter,15,50,11,1.31,141.22,-0.196,-9.13481E-10
1,Litter,15,50,7,1.65,82.42,-0.062,-2.89E-10
1,Litter,15,50,8,1.49,52.35,-0.107,-4.99E-10
1,Litter,15,50,9,1.35,152.59,-0.170,-7.95621E-10
1,Litter,15,100,10,1.36,138.97,-0.104,-4.85266E-10
1,Litter,15,100,11,1.24,50.81,-0.126,-5.86152E-10
1,Litter,15,100,7,1.73,116.76,-0.057,-2.64482E-10
1,Litter,15,100,8,2.21,81.45,-0.010,-4.67678E-11
1,Litter,15,100,9,1.25,12.80,-0.182,-8.5063E-10
1,Litter,15,150,10,2.15,162.79,0.058,2.72516E-10
1,Litter,15,150,11,1.71,25.73,-0.092,-4.31213E-10
1,Litter,15,150,7,1.98,197.98,-0.067,-3.11071E-10
1,Litter,15,150,8,1.87,37.97,-0.095,-4.42552E-10
1,Litter,15,150,9,1.55,161.94,-0.134,-6.27504E-10
1,Moss,15,25,10,4.21,49.41,0.481,2.24549E-09
1,Moss,15,25,11,3.59,31.48,-0.034,-1.59993E-10
1,Moss,15,25,7,0.92,68.48,-0.201,-9.3845E-10
1,Moss,15,25,8,1.61,129.19,1.598,7.46265E-09
1,Moss,15,25,9,2.87,44.25,-0.051,-2.37574E-10
1,Moss,15,50,10,0.57,50.88,-0.146,-6.8162E-10
1,Moss,15,50,11,3.23,37.77,0.054,2.54279E-10
1,Moss,15,50,7,2.14,72.90,-0.059,-2.73592E-10
1,Moss,15,50,8,2.14,63.55,1.217,5.68251E-09
1,Moss,15,50,9,0.85,82.35,0.855,3.99336E-09
1,Moss,15,100,10,2.31,64.94,1.278,5.9676E-09
1,Moss,15,100,11,0.6,61.67,0.809,3.77577E-09
1,Moss,15,100,7,109.57,-83.74,-0.002,-9.83598E-12
1,Moss,15,100,8,6.8,33.68,0.092,4.29593E-10
1,Moss,15,100,9,1.13,193.81,-0.180,-8.39946E-10
1,Moss,15,150,10,0.48,162.50,1.689,7.88662E-09
1,Moss,15,150,11,4.16,86.54,-0.035,-1.61905E-10
1,Moss,15,150,7,0.35,434.29,-0.557,-2.60216E-09
1,Moss,15,150,8,0.7,141.43,-0.109,-5.06974E-10
1,Moss,15,150,9,0.57,280.70,-0.346,-1.61723E-09
1,Soil,15,25,10,23.061,19.03,-0.001,-6.75203E-12
1,Soil,15,25,11,8.288,48.53,-0.031,-1.45737E-10
1,Soil,15,25,7,13.252,25.11,-0.008,-3.68932E-11
1,Soil,15,25,8,7.918,25.66,-0.020,-9.38315E-11
1,Soil,15,25,9,17.62,23.67,-0.008,-3.51428E-11
