Site,Species,Species.Name,Functional.Group,mean.cover
FirLopS,clacar,Cladonia cariosa ,Lichen,0.48
FirLopS,ANMI,Antennaria microphylla,Forb,0.36
FirLopS,CEPU,Ceratodon purpureus,Moss,0.36
FirLopS,EUME,Eurybia merita,Forb,0.28
FirLopS,CAMRO,Campanula rotundifolia,Forb,0.2
FirLopS,SOMU,Solidago multiradiata,Forb,0.2
FirLopS,CHAN,Chamerion angustifolium ,Forb,0.12
FirLopS,PENSTEMON*SP,Penstemon sp.,Forb,0.08
FirLopS,ACMI,Achillea millefolium,Forb,0.04
FirLopS,GADI,Gayophytum diffusum ,Forb,0.04
FirLopS,UK FORB,Unknown Forb,Forb,0.04
FounEast,LITTER (NO CHAR),Litter (No Char),Litter (No Char),59.8
FounEast,CARU,Calamagrostis rubescens,Graminoid,23.8
FounEast,WOOD,Wood,Wood,9.28
FounEast,SO*SP,Solidago sp.,Forb,1.28
FounEast,ARCO,Arnica cordifolia,Forb,1.16
FounEast,LUAR,Lupinus argenteus,Forb,1.16
FounEast,CAMRO,Campanula rotundifolia,Forb,0.96
FounEast,GEVI,Geranium viscosissimum,Forb,0.88
FounEast,poju,Polytrichum juniperinum,Moss,0.84
FounEast,SPBE,Spiraea betulifolia,Shrub,0.8
FounEast,CHAN,Chamerion angustifolium ,Forb,0.56
FounEast,pleuro,FeatherMoss,Moss,0.4
FounEast,VASC,Vaccinium scparium,Shrub,0.32
FounEast,clafri,Cladonia fimbriata,Lichen,0.2
FounEast,TAOF,Taraxacum officinale,Forb,0.16
FounEast,ANMI,Antennaria microphylla,Forb,0.04
FounEast,LOUT,Lonicera utahensis,Shrub,0.04
GibFalls,LITTER (NO CHAR),Litter (No Char),Litter (No Char),82.6
GibFalls,WOOD,Wood,Wood,15.96
GibFalls,BARE SOIL,Bare Soil,Soil,5.2
GibFalls,clacar,Cladonia cariosa ,Lichen,2.44
GibFalls,clafri,Cladonia fimbriata,Lichen,1.28
GibFalls,peca,Peltigera canadensis,Lichen,1
GibFalls,CAGE,Carex geyerii,Graminoid,0.28
GibFalls,poju,Polytrichum juniperinum,Moss,0.2
GibFalls,ARUV,Arctostaphylos uva-ursi,Shrub,0.12
GibFalls,ROCK,Rock,Rock,0.12
GibFalls,ANMI,Antennaria microphylla,Forb,0.08
GibFalls,CARO,Carex rossii,Graminoid,0.04
GravPit,LITTER (NO CHAR),Litter (No Char),Litter (No Char),75
GravPit,WOOD,Wood,Wood,20.72
GravPit,clafri,Cladonia fimbriata,Lichen,4.4
GravPit,BARE SOIL,Bare Soil,Soil,1.64
GravPit,CARU,Calamagrostis rubescens,Graminoid,1.16
GravPit,peca,Peltigera canadensis,Lichen,0.72
GravPit,poju,Polytrichum juniperinum,Moss,0.64
GravPit,ARUV,Arctostaphylos uva-ursi,Shrub,0.4
GravPit,ROCK,Rock,Rock,0.32
GravPit,clacar,Cladonia cariosa ,Lichen,0.28
LewCan,LITTER (NO CHAR),Litter (No Char),Litter (No Char),33.72
LewCan,BARE SOIL,Bare Soil,Soil,19.48
LewCan,WOOD,Wood,Wood,17
LewCan,VASC,Vaccinium scparium,Shrub,6.72
LewCan,CAGE,Carex geyerii,Graminoid,6.48
LewCan,CEPU,Ceratodon purpureus,Moss,3.04
LewCan,ANMA,Anaphalis margaritacea,Forb,1.28
LewCan,poju,Polytrichum juniperinum,Moss,0.92
LewCan,clafri,Cladonia fimbriata,Lichen,0.72
LewCan,HIAL,Hieracium albiforum ,Forb,0.68
LewCan,CHAN,Chamerion angustifolium ,Forb,0.32
LewCan,HICY,Hieracium cynoglossoides,Forb,0.2
LewCan,ROCK,Rock,Rock,0.16
LewCan,CARO,Carex rossii,Graminoid,0.12
LewCan,CARU,Calamagrostis rubescens,Graminoid,0.12
LewCan,ACMI,Achillea millefolium,Forb,0.08
LewCan,POA*SP,Poa sp. ,Graminoid,0.04
LewCan,SOMU,Solidago multiradiata,Forb,0.04
PitchHOB,LITTER (NO CHAR),Litter (No Char),Litter (No Char),49
PitchHOB,BARE SOIL,Bare Soil,Soil,30.12
PitchHOB,WOOD,Wood,Wood,14.36
PitchHOB,CAGE,Carex geyerii,Graminoid,7.2
PitchHOB,CARO,Carex rossii,Graminoid,5
PitchHOB,VASC,Vaccinium scparium,Shrub,3.8
PitchHOB,LUAR,Lupinus argenteus,Forb,2.68
PitchHOB,poju,Polytrichum juniperinum,Moss,2.28
PitchHOB,ACHNATHERUM*SP,Achnatherum sp.,Graminoid,1.08
PitchHOB,ROCK,Rock,Rock,0.68
PitchHOB,HIAL,Hieracium albiforum ,Forb,0.32
PitchHOB,FRVI,Frageria virginiana,Forb,0.28
PitchHOB,ANMA,Anaphalis margaritacea,Forb,0.12
PitchHOB,clafri,Cladonia fimbriata,Lichen,0.12
PitchHOB,SO*SP,Solidago sp.,Forb,0.08
RidLkHO,LITTER (NO CHAR),Litter (No Char),Litter (No Char),64
RidLkHO,WOOD,Wood,Wood,24.92
RidLkHO,CEPU,Ceratodon purpureus,Moss,5.4
RidLkHO,CAGE,Carex geyerii,Graminoid,4.12
RidLkHO,BARE SOIL,Bare Soil,Soil,2.72
RidLkHO,poju,Polytrichum juniperinum,Moss,1.68
RidLkHO,LUAR,Lupinus argenteus,Forb,1.36
RidLkHO,clafri,Cladonia fimbriata,Lichen,0.6
RidLkHO,VASC,Vaccinium scparium,Shrub,0.6
RidLkHO,CARO,Carex rossii,Graminoid,0.44
