"","site","mean_bd","sd_bd"
"1","BiscBas",0.850635410627262,0.420739108822633
"2","FirLopSo",1.01148596768886,0.254165373486571
"3","FounEast",0.721633733958036,0.281197011798882
"4","GibFalls",0.910360222720174,0.318132632247541
"5","GravPit",0.916598764174645,0.443508763187259
