sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Wood,25,35,22,1.07,7.78,3.61,2.54,164.1732283,
Wood,150,15,10,1.07,8.67,3.91,2.84,167.6056338,
Wood,25,35,21,1.07,6.45,3.08,2.01,167.6616915,
Wood,25,5,2,1.06,6.61,3.13,2.07,168.115942,
Wood,150,5,2,1.04,4.45,2.31,1.27,168.503937,
Wood,100,25,15,1.05,6.72,3.16,2.11,168.7203791,
Moss,150,35,21,1.05,3.01,1.77,0.72,172.2222222,
Wood,100,35,20,1.03,6.62,3.07,2.04,174.0196078,
Wood,50,15,7,1.06,8.24,3.67,2.61,175.0957854,
Lichen,25,150,16,1.05,3.75,2.02,0.97,178.3505155,
Wood,150,35,20,1.07,7.57,3.39,2.32,180.1724138,
Moss,100,5,3,1.07,2.76,1.66,0.59,186.440678,
Wood,150,25,14,1.04,9.23,3.89,2.85,187.3684211,
Litter,5,25,4,1.08,5.91,2.76,1.68,187.5,
Wood,150,5,6,1.06,7.86,3.41,2.35,189.3617021,
Moss,50,35,20,1.13,5.11,2.5,1.37,190.5109489,
Lichen,150,5,1,1.05,3.81,2,0.95,190.5263158,
Wood,150,15,9,1.06,6.58,2.96,1.9,190.5263158,
Lichen,25,50,16,1.07,4.66,2.3,1.23,191.8699187,
Moss,100,25,13,1.13,2.71,1.67,0.54,192.5925926,
Moss,100,15,9,1.11,4.43,2.24,1.13,193.8053097,
Litter,35,50,19,1.14,6.78,3.04,1.9,196.8421053,
Wood,25,35,24,1.05,9.3,3.82,2.77,197.833935,
Wood,100,5,5,1.07,6.64,2.94,1.87,197.8609626,
Litter,150,15,7,1.05,6.95,3.03,1.98,197.979798,
Lichen,100,15,12,1.08,1.86,1.34,0.26,200,
Wood,50,35,20,1.04,9.14,3.71,2.67,203.3707865,
Moss,150,25,18,1.13,5.78,2.66,1.53,203.9215686,
Wood,150,25,17,1.07,8.71,3.58,2.51,204.3824701,
Wood,25,25,17,1.06,8.67,3.54,2.48,206.8548387,
Wood,150,15,11,1.08,10.06,3.97,2.89,210.7266436,
Wood,50,25,14,1.08,5.59,2.53,1.45,211.0344828,
Wood,50,15,12,1.06,8.35,3.4,2.34,211.5384615,
Lichen,35,50,23,1.103,4.302,2.11,1.007,217.6762661,
Wood,50,5,3,1.05,10.34,3.97,2.92,218.1506849,
Wood,25,35,19,1.06,7.18,2.98,1.92,218.75,
Wood,25,25,14,1.09,7.37,3.05,1.96,220.4081633,
Wood,150,25,13,1.04,12.75,4.68,3.64,221.7032967,
Lichen,100,5,5,1.06,1.81,1.29,0.23,226.0869565,
Wood,50,15,8,1.07,8.9,3.44,2.37,230.3797468,
Wood,100,5,2,1.05,7.4,2.97,1.92,230.7291667,
Wood,100,15,9,1.08,7.93,3.14,2.06,232.5242718,
Wood,50,25,18,1.07,8.05,3.16,2.09,233.9712919,
Wood,100,25,17,1.04,6.77,2.75,1.71,235.0877193,
Wood,25,25,18,1.07,6.64,2.68,1.61,245.9627329,
Wood,100,25,14,1.05,12.29,4.29,3.24,246.9135802,
Wood,100,5,3,1.1,7.16,2.84,1.74,248.2758621,
Wood,150,5,5,1.05,8.68,3.24,2.19,248.4018265,
Wood,50,5,2,1.05,7.2,2.81,1.76,249.4318182,
Wood,25,15,9,1.07,8.19,3.08,2.01,254.2288557,
Wood,25,5,3,1.07,7.37,2.8,1.73,264.1618497,
Wood,50,5,5,1.07,9.13,3.27,2.2,266.3636364,
Lichen,150,15,12,1.07,3.24,1.66,0.59,267.7966102,
Moss,50,25,14,1.13,4.07,1.92,0.79,272.1518987,
Wood,150,5,3,1.05,10.23,3.51,2.46,273.1707317,
Moss,150,15,9,1.1,3.27,1.67,0.57,280.7017544,
Moss,150,35,20,1.05,3.01,1.56,0.51,284.3137255,
Litter,25,25,13,1.09,10.56,3.54,2.45,286.5306122,
Wood,150,15,12,1.07,13.32,4.21,3.14,290.1273885,
Wood,100,5,6,1.07,11.45,3.63,2.56,305.46875,
Wood,50,25,17,1.05,9.83,3.14,2.09,320.0956938,
Moss,150,25,16,1.06,3.75,1.69,0.63,326.984127,
Moss,25,5,6,1.06,3.88,1.71,0.65,333.8461538,
Soil,50,25,17,1.118,4.42,1.81,0.692,377.1676301,
Lichen,35,150,21,1.09,2.579,1.39,0.3,396.3333333,
Moss,150,15,7,1.11,2.98,1.46,0.35,434.2857143,
