sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Soil,100,15,8,1.1,13.93,11.006,9.906,29.51746416,
Soil,100,25,15,1.088,18.99,14.9,13.812,29.61193165,
Lichen,25,5,3,1.06,4.43,3.66,2.6,29.61538462,
Lichen,25,25,13,1.09,4.56,3.76,2.67,29.96254682,
Litter,25,25,18,1.1,3,2.56,1.46,30.1369863,
Litter,5,25,5,1.12,2.99,2.55,1.43,30.76923077,
Lichen,50,15,12,1.05,7.88,6.27,5.22,30.84291188,
Soil,50,25,18,1.098,17.75,13.82,12.722,30.89136928,
Soil,25,5,5,1.07,15.46,12.057,10.987,30.97296805,
Lichen,25,15,8,1.07,5.89,4.75,3.68,30.97826087,
Moss,50,5,1,1.08,4.93,4.01,2.93,31.39931741,
Moss,25,15,11,1.11,5.83,4.7,3.59,31.47632312,
Moss,150,5,6,1.04,8.76,6.91,5.87,31.51618399,
Soil,150,25,18,1.05,18.43,14.23,13.18,31.86646434,
Litter,5,50,2,1.1,3.99,3.29,2.19,31.96347032,
Litter,25,150,13,1.13,2.74,2.35,1.22,31.96721311,
Soil,100,5,6,1.1,14.65,11.349,10.249,32.20802029,
Wood,100,5,4,1.08,4.09,3.35,2.27,32.59911894,
Litter,5,25,6,1.1,3.05,2.57,1.47,32.65306122,
Litter,50,15,10,1.06,3.77,3.1,2.04,32.84313725,
Soil,25,35,22,1.06,15.76,12.11,11.05,33.03167421,
Lichen,100,15,8,1.09,3.45,2.86,1.77,33.33333333,
Moss,100,15,8,1.1,10.19,7.9,6.8,33.67647059,
Lichen,35,50,21,1.098,14.874,11.37,10.272,34.11214953,
Moss,25,35,24,1.1,1.65,1.51,0.41,34.14634146,
Lichen,35,25,21,1.084,6.955,5.46,4.376,34.16361974,
Litter,25,50,18,1.11,3.81,3.12,2.01,34.32835821,
Moss,50,5,3,1.06,6.41,5.01,3.95,35.44303797,
Soil,50,25,13,1.103,13.72,10.4,9.297,35.71044423,
Lichen,35,25,24,1.103,1.669,1.52,0.417,35.73141487,
Litter,50,15,12,1.08,3.05,2.53,1.45,35.86206897,
Moss,100,5,2,1.02,8.91,6.82,5.8,36.03448276,
Wood,25,25,13,1.04,4.58,3.64,2.6,36.15384615,
Moss,100,35,21,1.1,7.84,6.03,4.93,36.71399594,
Moss,100,35,23,1.11,7.94,6.1,4.99,36.87374749,
Litter,25,100,15,1.11,3.11,2.57,1.46,36.98630137,
Lichen,25,15,11,1.07,3.92,3.15,2.08,37.01923077,
Soil,150,5,3,1.13,18.78,13.992,12.862,37.22593687,
Lichen,35,100,22,1.086,4.54,3.6,2.514,37.39061257,
Soil,50,35,21,1.07,16.53,12.32,11.25,37.42222222,
Litter,35,150,19,1.098,4.25,3.39,2.292,37.52181501,
Moss,50,15,11,1.12,5.57,4.35,3.23,37.77089783,
