,Bag_ID,sample.x,sample_no,moist_level,temp,1.5s peak area,ppm,mean_blank.x,median_blank.x,n.x,sample.y,mean_blank.y,median_blank.y,n.y,ppm_corrected
61,A,Lichen,2,100,5,6637.5,2.3465,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.36046
64,A,Lichen,3,100,5,7261.1,2.396388,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.310572
71,A,Lichen,1,100,5,4669.9,2.189092,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.517868
85,A,Lichen,4,100,5,3497.9,2.095332,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.611628
28,A,Litter,5,100,5,5884,2.25092,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.457258
34,A,Litter,1,100,5,8971,2.49788,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.210298
37,A,Litter,4,100,5,1517.4,1.901592,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.806586
48,A,Litter,3,100,5,8581.5,2.46672,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.241458
81,A,Litter,2,100,5,10848.9,2.648112,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.060066
29,A,Moss,4,100,5,22151.9,3.587652,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-0.951572
38,A,Moss,5,100,5,8549.2,2.499436,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.039788
60,A,Moss,3,100,5,5834.2,2.282236,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.256988
70,A,Moss,2,100,5,9648.6,2.587388,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.951836
96,A,Moss,1,100,5,26199.9,3.911492,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-0.627732
23,A,Soil,4,100,5,1329,1.92182,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.242248
39,A,Soil,3,100,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
49,A,Soil,1,100,5,8768,2.51694,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.647128
50,A,Soil,2,100,5,8684.2,2.510236,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.653832
53,A,Soil,5,100,5,9638.1,2.586548,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.57752
5,A,Wood,2,100,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
8,A,Wood,4,100,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
9,A,Wood,1,100,5,5647.9,2.267332,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.365822
35,A,Wood,5,100,5,1100.7,1.903556,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.729598
65,A,Wood,3,100,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
2,A,Lichen,5,150,5,16561.3,3.140404,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.566556
6,A,Lichen,4,150,5,10514.9,2.656692,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.050268
20,A,Lichen,1,150,5,402320.5,34.00114,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,29.29418
21,A,Lichen,3,150,5,7321.4,2.401212,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-2.305748
95,A,Lichen,2,150,5,21634.6,3.546268,2.0189625,1.983236,16,Bag_A,2.723724,2.723724,2,-1.160692
32,A,Litter,1,150,5,10080.6,2.586648,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.12153
66,A,Litter,3,150,5,10792.1,2.643568,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.06461
67,A,Litter,5,150,5,7895.6,2.447148,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.26103
80,A,Litter,2,150,5,1586,1.90708,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.801098
88,A,Litter,4,150,5,1360.9,1.889072,2.43269275,1.984454,16,Bag_A,2.723724,2.723724,2,-2.819106
24,A,Moss,1,150,5,1107.6,1.904108,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-2.635116
25,A,Moss,2,150,5,10937.1,2.690468,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.848756
45,A,Moss,5,150,5,12830.8,2.841964,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.69726
