sample,sample_no,moist_level,temp,1.5s peak area,ppm
Litter,17,25,25,14580.5,2.50964
Litter,13,50,25,32384.1,3.933928
Litter,14,50,25,17291,2.72648
Litter,15,50,25,23597.2,3.230976
Litter,16,50,25,6247.6,1.843008
Litter,17,50,25,24988,3.34224
Litter,13,100,25,31170.7,3.836856
Litter,14,100,25,5947.9,1.819032
Litter,15,100,25,3909.5,1.65596
Litter,16,100,25,48930.8,5.257664
Litter,17,100,25,17998.9,2.783112
Litter,13,150,25,13341.4,2.410512
Litter,14,150,25,38183.9,4.397912
Litter,15,150,25,19691.5,2.91852
Litter,16,150,25,11692.2,2.278576
Litter,17,150,25,34171.9,4.076952
Litter,19,25,35,75659.3,7.395944
Litter,20,25,35,25399.2,3.375136
Litter,21,25,35,72445.2,7.138816
Litter,22,25,35,7622.3,1.952984
Litter,23,25,35,125190.7,11.358456
Litter,19,50,35,152325.8,13.529264
Litter,20,50,35,23789,3.24632
Litter,21,50,35,6265.4,1.844432
Litter,22,50,35,46739.6,5.082368
Litter,23,50,35,3261,1.60408
Litter,19,100,35,104353.2,9.691456
Litter,20,100,35,77767.6,7.564608
Litter,21,100,35,2176.8,1.517344
Litter,22,100,35,77117.8,7.512624
Litter,23,100,35,69883.8,6.933904
Litter,19,150,35,120177.7,10.957416
Litter,20,150,35,92163.5,8.71628
Litter,21,150,35,139152.2,12.475376
Litter,22,150,35,32134.2,3.913936
Litter,23,150,35,19217.4,2.880592
Moss,1,25,5,7288.6,2.398588
Moss,2,25,5,10788.7,2.678596
Moss,3,25,5,8094.5,2.46306
Moss,4,25,5,19447.5,3.3713
Moss,5,25,5,4629,2.18582
Moss,6,25,5,0,1.8155
Moss,7,25,15,8703.9,2.511812
Moss,8,25,15,358240,30.4747
Moss,9,25,15,13631.1,2.905988
Moss,10,25,15,288720.9,24.913172
Moss,11,25,15,16547.8,3.139324
Moss,12,25,15,1595.9,1.943172
Moss,13,25,25,569046.1,47.339188
Moss,14,25,25,25269.6,3.837068
Moss,15,25,25,108534.3,10.498244
Moss,16,25,25,10754.5,2.67586
Moss,17,25,25,5881.4,2.286012
Moss,18,25,25,36266.2,4.716796
Moss,19,25,35,24222.1,2.80401
Moss,20,25,35,352792.6,35.66106
Moss,21,25,35,37936,4.1754
Moss,22,25,35,31111.8,3.49298
Moss,23,25,35,11017.5,1.48355
Moss,24,25,35,4232.5,0.80505
Moss,1,50,5,13864.6,2.924668
Moss,2,50,5,9517.6,2.576908
Moss,3,50,5,9652.8,2.587724
Moss,4,50,5,15645.1,3.067108
Moss,5,50,5,0,1.8155
Moss,6,50,5,0,1.8155
Moss,7,50,15,15890.7,3.086756
Moss,8,50,15,361838.8,30.762604
Moss,9,50,15,123909.9,11.728292
Moss,10,50,15,21236.6,3.514428
Moss,11,50,15,54073.7,6.141396
Moss,12,50,15,1240.4,1.914732
Moss,13,50,25,25876,2.9694
Moss,14,50,25,19526.7,2.33447
Moss,15,50,25,14263.2,1.80812
Moss,16,50,25,64431.7,6.82497
Moss,17,50,25,24124.8,2.79428
Moss,18,50,25,2182.2,0.60002
Moss,19,50,35,0,0.3818
Moss,20,50,35,25647.5,2.94655
Moss,21,50,35,15008.2,1.88262
Moss,22,50,35,157364,16.1182
Moss,23,50,35,7057.4,1.08754
Moss,24,50,35,3345.7,0.71637
Moss,1,100,5,26199.9,3.911492
Moss,2,100,5,9648.6,2.587388
Moss,3,100,5,5834.2,2.282236
Moss,4,100,5,22151.9,3.587652
Moss,5,100,5,8549.2,2.499436
Moss,6,100,5,53234.7,6.074276
Moss,7,100,15,3151.5,2.06762
Moss,8,100,15,111689.7,10.750676
Moss,9,100,15,6641.6,2.346828
Moss,10,100,15,406553.6,34.339788
Moss,11,100,15,93891,9.32678
Moss,12,100,15,1861.4,1.964412
Moss,13,100,25,16830.7,2.06487
Moss,14,100,25,13570.6,1.73886
Moss,15,100,25,13395.1,1.72131
Moss,16,100,25,392541.2,39.63592
Moss,17,100,25,20829.4,2.46474
Moss,18,100,25,1535.3,0.53533
Moss,19,100,35,14649.8,1.84678
Moss,20,100,35,19373.5,2.31915
Moss,21,100,35,80548,8.4366
Moss,22,100,35,17714.8,2.15328
Moss,23,100,35,32421.2,3.62392
Moss,24,100,35,9174.7,1.29927
Moss,1,150,5,1107.6,1.904108
Moss,2,150,5,10937.1,2.690468
Moss,3,150,5,13337.7,2.882516
Moss,4,150,5,21220.5,3.51314
Moss,5,150,5,12830.8,2.841964
Moss,6,150,5,0,1.8155
Moss,7,150,15,12095,2.7831
Moss,8,150,15,27182.3,3.990084
Moss,9,150,15,11794.7,2.759076
Moss,10,150,15,139561,12.98038
Moss,11,150,15,18533.8,3.298204
Moss,12,150,15,6273,2.31734
Moss,13,150,25,23348.3,2.71663
Moss,14,150,25,19737.4,2.35554
Moss,15,150,25,29323.8,3.31418
Moss,16,150,25,60996.7,6.48147
Moss,17,150,25,906847.1,91.06651
Moss,18,150,25,85971.2,8.97892
Moss,19,150,35,32448.8,3.62668
Moss,20,150,35,33813.1,3.76311
Moss,21,150,35,93845.6,9.76636
Moss,22,150,35,20508.4,2.43264
Moss,23,150,35,74901.1,7.87191
Moss,24,150,35,13604.4,1.74224
Soil,1,25,5,8393.6,2.486988
Soil,2,25,5,0,1.8155
Soil,3,25,5,0,1.8155
Soil,4,25,5,0,1.8155
Soil,5,25,5,0,1.8155
Soil,1,50,5,0,1.8155
Soil,2,50,5,0,1.8155
Soil,3,50,5,0,1.8155
Soil,4,50,5,0,1.8155
Soil,5,50,5,11627.5,2.7457
Soil,1,100,5,8768,2.51694
Soil,2,100,5,8684.2,2.510236
Soil,3,100,5,0,1.8155
Soil,4,100,5,1329,1.92182
Soil,5,100,5,9638.1,2.586548
Soil,1,150,5,3096.8,2.063244
Soil,2,150,5,14130,2.9459
Soil,3,150,5,0,1.8155
Soil,4,150,5,0,1.8155
Soil,5,150,5,11271.1,2.717188
Soil,18,50,25,16625.1,2.04431
Soil,24,50,35,7089.6,1.910368
Soil,7,25,15,17219,2.1037
Soil,8,25,15,11577.4,1.53954
Soil,9,25,15,14325.3,1.81433
Soil,10,25,15,24618.3,2.84363
Soil,11,25,15,1253.3,0.50713
Soil,6,25,5,0,1.8155
Soil,7,50,15,32129.5,3.59475
Soil,8,50,15,17242.4,2.10604
Soil,9,50,15,54479.5,5.82975
Soil,10,50,15,33059.4,3.68774
