,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
8,Litter,1,25,50,4.962484,-4.852038,1.74,58.04597701,24,NA
24,Litter,2,25,50,4.620924,-5.193598,1.5,58.66666667,24,NA
40,Litter,3,25,50,5.298548,-4.515974,1.63,55.21472393,24,NA
56,Litter,4,25,50,4.816156,-4.998366,1.48,70.94594595,24,NA
72,Litter,5,25,50,4.970052,-4.84447,1.64,70.12195122,24,NA
88,Litter,6,25,50,5.520492,-4.29403,1.66,56.62650602,24,NA
104,Litter,7,25,50,6.737404,-3.077118,1.85,54.59459459,24,NA
120,Litter,8,25,50,4.165988,-5.648534,1.42,78.16901408,24,NA
136,Litter,9,25,50,4.95126,-4.863262,1.38,78.26086957,24,NA
5,Litter,1,25,100,8.51098,-1.303542,1.53,120.9150327,24,NA
21,Litter,2,25,100,8.454028,-1.360494,1.45,133.1034483,24,NA
37,Litter,3,25,100,5.831268,-3.983254,1.43,112.5874126,24,NA
53,Litter,4,25,100,13.980068,4.165546,1.41,143.9716312,24,NA
69,Litter,5,25,100,8.284108,-1.530414,1.57,123.566879,24,NA
85,Litter,6,25,100,4.886636,-4.927886,1.64,112.195122,24,NA
101,Litter,7,25,100,6.548404,-3.266118,1.46,121.9178082,24,NA
117,Litter,8,25,100,11.120748,1.306226,1.44,136.8055556,24,NA
133,Litter,9,25,100,9.202868,-0.611654,1.4,145,24,NA
6,Litter,1,25,150,2.579924,-7.234598,1.55,176.1290323,24,NA
22,Litter,2,25,150,12.718676,2.904154,1.5,94.66666667,24,NA
38,Litter,3,25,150,6.63034,-3.184182,1.52,205.2631579,24,NA
54,Litter,4,25,150,6.245788,-3.568734,1.63,189.5705521,24,NA
70,Litter,5,25,150,4.82638,-4.988142,1.5,198,24,NA
86,Litter,6,25,150,3.486732,-6.32779,1.53,190.1960784,24,NA
102,Litter,7,25,150,4.159908,-5.654614,1.55,190.3225806,24,NA
118,Litter,8,25,150,3.9195,-5.895022,1.46,198.630137,24,NA
134,Litter,9,25,150,3.612492,-6.20203,1.45,206.2068966,24,NA
11,Litter,1,35,25,17.078756,-1.754276,1.49,43.62416107,24.5,NA
27,Litter,2,35,25,16.114692,-2.71834,1.54,44.80519481,24.5,NA
43,Litter,3,35,25,19.27158,0.438548,1.54,44.15584416,24.5,NA
59,Litter,4,35,25,8.515932,-10.3171,1.5,47.33333333,24.5,NA
75,Litter,5,35,25,11.96066,-6.872372,1.65,39.39393939,24.5,NA
91,Litter,6,35,25,11.759196,-7.073836,1.56,39.74358974,24.5,NA
