,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
401,Wood,8,15,100,5.040303,0.17155425,2.97,159.2592593,24.25,NA
417,Wood,9,15,100,6.641502,1.77275325,2.25,243.1111111,24.25,NA
290,Wood,1,15,150,12.215859,7.34711025,2.59,267.5675676,24.25,NA
306,Wood,2,15,150,4.845435,-0.02331375,2.69,257.9925651,24.25,NA
322,Wood,3,15,150,7.217619,2.34887025,3.03,222.1122112,24.25,NA
338,Wood,4,15,150,5.959959,1.09121025,1.03,773.7864078,24.25,NA
354,Wood,5,15,150,7.757754,2.88900525,2.99,220.0668896,24.25,NA
370,Wood,6,15,150,5.831349,0.96260025,1.66,462.0481928,24.25,NA
386,Wood,7,15,150,2.804505,-2.06424375,2.09,347.3684211,24.25,NA
402,Wood,8,15,150,2.559345,-2.30940375,2.06,351.4563107,24.25,NA
418,Wood,9,15,150,3.016599,-1.85214975,2.65,252.4528302,24.25,NA
295,Wood,1,25,25,9.731796,-11.617944,1.76,216.4772727,24,NA
311,Wood,2,25,25,3.619924,-17.729816,4.07,57.98525799,24,NA
327,Wood,3,25,25,12.39974,-8.95,1.55,260,24,NA
343,Wood,4,25,25,3.23558,-18.11416,4.08,37.5,24,NA
359,Wood,5,25,25,5.029796,-16.319944,1.72,222.0930233,24,NA
375,Wood,6,25,25,3.684964,-17.664776,4.21,42.99287411,24,NA
391,Wood,7,25,25,4.695788,-16.653952,3.66,51.36612022,24,NA
407,Wood,8,25,25,21.208948,-0.140792,4.26,27.69953052,24,NA
423,Wood,9,25,25,3.50574,-17.844,4.37,65.44622426,24,NA
296,Wood,1,25,50,14.226916,-7.122824,2.31,191.3419913,24,NA
312,Wood,2,25,50,6.895628,-14.454112,4.12,58.98058252,24,NA
328,Wood,3,25,50,6.599676,-14.750064,1.45,351.7241379,24,NA
344,Wood,4,25,50,7.168644,-14.181096,2.95,123.0508475,24,NA
360,Wood,5,25,50,6.990324,-14.359416,2.19,205.4794521,24,NA
376,Wood,6,25,50,8.7207,-12.62904,3.18,100,24,NA
392,Wood,7,25,50,9.313452,-12.036288,4.12,165.5339806,24,NA
408,Wood,8,25,50,11.914676,-9.435064,4.06,68.71921182,24,NA
424,Wood,9,25,50,15.644476,-5.705264,4.07,77.3955774,24,NA
293,Wood,1,25,100,8.79954,-12.5502,3.33,144.1441441,24,NA
309,Wood,2,25,100,10.700252,-10.649488,3.58,118.7150838,24,NA
325,Wood,3,25,100,6.313636,-15.036104,0.96,765.625,24,NA
341,Wood,4,25,100,21.986724,0.636984,4.08,108.5784314,24,NA
357,Wood,5,25,100,10.275508,-11.074232,2.37,259.9156118,24,NA
373,Wood,6,25,100,7.619852,-13.729888,3.7,128.1081081,24,NA
389,Wood,7,25,100,24.915292,3.565552,3.43,149.271137,24,NA
405,Wood,8,25,100,5.586436,-15.763304,3.53,141.6430595,24,NA
421,Wood,9,25,100,9.784044,-11.565696,3.77,131.0344828,24,NA
294,Wood,1,25,150,10.518572,-10.831168,3.11,231.1897106,24,NA
310,Wood,2,25,150,22.21982,0.87008,3.31,214.5015106,24,NA
326,Wood,3,25,150,12.994436,-8.355304,2.26,360.1769912,24,NA
342,Wood,4,25,150,24.246636,2.896896,3.79,182.585752,24,NA
358,Wood,5,25,150,30.287356,8.937616,3.73,182.8418231,24,NA
374,Wood,6,25,150,36.15298,14.80324,3.94,165.9898477,24,NA
390,Wood,7,25,150,12.266068,-9.083672,4.02,55.72139303,24,NA
406,Wood,8,25,150,45.496852,24.147112,4.21,140.1425178,24,NA
422,Wood,9,25,150,13.269508,-8.080232,3.76,176.0638298,24,NA
299,Wood,1,35,25,8.670068,-5.811664,2.78,67.62589928,24.25,NA
315,Wood,2,35,25,5.494332,-8.9874,2.57,73.15175097,24.25,NA
331,Wood,3,35,25,12.578684,-1.903048,2.71,74.53874539,24.25,NA
347,Wood,4,35,25,3.837876,-10.643856,2.03,121.182266,24.25,NA
363,Wood,5,35,25,3.752388,-10.729344,2.82,56.02836879,24.25,NA
379,Wood,6,35,25,4.504132,-9.9776,2.81,70.46263345,24.25,NA
395,Wood,7,35,25,9.069988,-5.411744,2.85,64.9122807,24.25,NA
411,Wood,8,35,25,7.647684,-6.834048,2.74,61.67883212,24.25,NA
427,Wood,9,35,25,3.120868,-11.360864,3.09,56.9579288,24.25,NA
300,Wood,1,35,50,8.962932,-5.5188,1.03,405.8252427,24.25,NA
316,Wood,2,35,50,11.625884,-2.855848,2.73,116.4835165,24.25,NA
332,Wood,3,35,50,10.425164,-4.056568,2.68,108.5820896,24.25,NA
348,Wood,4,35,50,5.008684,-9.473048,3.2,73.4375,24.25,NA
364,Wood,5,35,50,8.137172,-6.34456,1.15,351.3043478,24.25,NA
380,Wood,6,35,50,6.69214,-7.789592,1.19,362.1848739,24.25,NA
396,Wood,7,35,50,8.495428,-5.986304,2.73,108.7912088,24.25,NA
412,Wood,8,35,50,5.63754,-8.844192,2.89,87.88927336,24.25,NA
428,Wood,9,35,50,5.315188,-9.166544,3.11,77.49196141,24.25,NA
297,Wood,1,35,100,15.77058,1.288848,2.43,216.4609053,24.25,NA
313,Wood,2,35,100,18.93262,4.450888,2.59,188.8030888,24.25,NA
329,Wood,3,35,100,11.909996,-2.571736,1.48,392.5675676,24.25,NA
345,Wood,4,35,100,26.14122,11.659488,2.7,180.7407407,24.25,NA
361,Wood,5,35,100,4.5995,-9.882232,3.29,131.0030395,24.25,NA
377,Wood,6,35,100,4.7739,-9.707832,2.6,180.3846154,24.25,NA
393,Wood,7,35,100,3.180812,-11.30092,2.34,215.8119658,24.25,NA
409,Wood,8,35,100,38.855612,24.37388,3.29,130.0911854,24.25,NA
425,Wood,9,35,100,3.194404,-11.287328,3.2,146.5625,24.25,NA
298,Wood,1,35,150,36.37582,21.894088,3.34,187.1257485,24.25,NA
314,Wood,2,35,150,22.543388,8.061656,2.56,262.890625,24.25,NA
330,Wood,3,35,150,20.866588,6.384856,2.78,248.5611511,24.25,NA
346,Wood,4,35,150,8.197268,-6.284464,3.08,219.8051948,24.25,NA
362,Wood,5,35,150,12.579612,-1.90212,2.17,341.0138249,24.25,NA
378,Wood,6,35,150,27.143124,12.661392,2.8,256.0714286,24.25,NA
394,Wood,7,35,150,14.459708,-0.022024,2.9,247.9310345,24.25,NA
410,Wood,8,35,150,5.070908,-9.410824,3.33,187.6876877,24.25,NA
426,Wood,9,35,150,9.2611,-5.220632,2.99,219.0635452,24.25,NA
