,plot,niche,quad,peak_area,ppm,blank_corr,dry_mass,moist,hrs of incubation
75,GravPit,Lichen,NW,36040.1,4.663408,1.896508,1.87,91.39,16
76,GravPit,Lichen,SW,5537.1,2.223168,-0.543732,0.88,139.07,16
77,GravPit,Litter,NE,18500.4,3.260232,0.444875333,1.41,51.77,16
78,GravPit,Litter,NW,16353.5,3.08848,0.273123333,1.27,53.54,16
79,GravPit,Litter,SW,9814,2.56532,-0.250036667,0.78,33.33,16
80,GravPit,Moss,NW,628119.7,52.029776,49.13298,5.86,47.44,16
81,GravPit,Moss,SW,980189.1,80.195328,77.298532,6.01,53.74,16
82,GravPit,Moss,NE,21385.1,3.491008,0.594212,0.61,362.3,16
83,GravPit,Soil,SW,9618.9,2.549712,0.574585333,10.27,43.67,16
84,GravPit,Soil,NW,12474.8,2.778184,0.803057333,11.97,29.51,16
85,GravPit,Soil,NE,6296,2.28388,0.308753333,15.38,20.05,16
86,GravPit,Wood,NW,49938.4,5.775272,3.187430667,2.87,131.01,16
87,GravPit,Wood,NE,10484.5,2.61896,0.031118667,2.57,178.21,16
