,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
79,2022_09_02_REH_lim_exp2_054,Litter,7,15,0.25,25,10895.6,2.838804,AB,2.1591825,2.88242925,2.924745,-2.2451235,24
80,2022_09_02_REH_lim_exp2_055,Litter,8,15,0.25,25,16869.3,3.376437,AB,2.1591825,2.88242925,2.924745,-1.7074905,24
81,2022_09_02_REH_lim_exp2_056,Litter,9,15,0.25,25,9713,2.73237,AB,2.1591825,2.88242925,2.924745,-2.3515575,24
82,2022_09_02_REH_lim_exp2_058,Litter,1,15,0.5,50,12577.5,2.990175,AB,2.1591825,2.88242925,2.924745,-2.0937525,24
83,2022_09_02_REH_lim_exp2_059,Litter,2,15,0.5,50,13513.6,3.074424,AB,2.1591825,2.88242925,2.924745,-2.0095035,24
84,2022_09_02_REH_lim_exp2_060,Litter,3,15,0.5,50,12009.8,2.939082,AB,2.1591825,2.88242925,2.924745,-2.1448455,24
85,2022_09_02_REH_lim_exp2_061,Litter,4,15,0.5,50,16521.2,3.345108,AB,2.1591825,2.88242925,2.924745,-1.7388195,24
86,2022_09_02_REH_lim_exp2_062,Litter,5,15,0.5,50,9364.5,2.701005,AB,2.1591825,2.88242925,2.924745,-2.3829225,24
87,2022_09_02_REH_lim_exp2_063,Litter,6,15,0.5,50,11415,2.88555,AB,2.1591825,2.88242925,2.924745,-2.1983775,24
88,2022_09_02_REH_lim_exp2_064,Litter,7,15,0.5,50,4566.6,2.269194,AB,2.1591825,2.88242925,2.924745,-2.8147335,24
89,2022_09_02_REH_lim_exp2_065,Litter,8,15,0.5,50,11243.1,2.870079,AB,2.1591825,2.88242925,2.924745,-2.2138485,24
90,2022_09_02_REH_lim_exp2_066,Litter,9,15,0.5,50,9583.7,2.720733,AB,2.1591825,2.88242925,2.924745,-2.3631945,24
91,2022_09_02_REH_lim_exp2_068,Litter,1,15,1,100,23075.2,3.934968,AB,2.1591825,2.88242925,2.924745,-1.1489595,24
92,2022_09_02_REH_lim_exp2_069,Litter,2,15,1,100,9785.6,2.738904,AB,2.1591825,2.88242925,2.924745,-2.3450235,24
93,2022_09_02_REH_lim_exp2_070,Litter,3,15,1,100,17816.1,3.461649,AB,2.1591825,2.88242925,2.924745,-1.6222785,24
94,2022_09_02_REH_lim_exp2_071,Litter,4,15,1,100,12580.4,2.990436,AB,2.1591825,2.88242925,2.924745,-2.0934915,24
95,2022_09_02_REH_lim_exp2_072,Litter,5,15,1,100,6700.5,2.461245,AB,2.1591825,2.88242925,2.924745,-2.6226825,24
96,2022_09_02_REH_lim_exp2_073,Litter,6,15,1,100,8824.7,2.652423,AB,2.1591825,2.88242925,2.924745,-2.4315045,24
97,2022_09_02_REH_lim_exp2_074,Litter,7,15,1,100,11695.8,2.910822,AB,2.1591825,2.88242925,2.924745,-2.1731055,24
98,2022_09_02_REH_lim_exp2_075,Litter,8,15,1,100,8170.2,2.593518,AB,2.1591825,2.88242925,2.924745,-2.4904095,24
99,2022_09_02_REH_lim_exp2_076,Litter,9,15,1,100,28666.7,4.438203,AB,2.1591825,2.88242925,2.924745,-0.6457245,24
100,2022_09_02_REH_lim_exp2_078,Litter,1,15,1.5,150,15359.8,3.240582,AB,2.1591825,2.88242925,2.924745,-1.8433455,24
101,2022_09_02_REH_lim_exp2_079,Litter,2,15,1.5,150,13835.4,3.103386,AB,2.1591825,2.88242925,2.924745,-1.9805415,24
102,2022_09_02_REH_lim_exp2_080,Litter,3,15,1.5,150,16912.4,3.380316,AB,2.1591825,2.88242925,2.924745,-1.7036115,24
103,2022_09_02_REH_lim_exp2_081,Litter,4,15,1.5,150,25007.1,4.108839,AB,2.1591825,2.88242925,2.924745,-0.9750885,24
104,2022_09_02_REH_lim_exp2_082,Litter,5,15,1.5,150,25282.7,4.133643,AB,2.1591825,2.88242925,2.924745,-0.9502845,24
105,2022_09_02_REH_lim_exp2_083,Litter,6,15,1.5,150,6188.6,2.415174,AB,2.1591825,2.88242925,2.924745,-2.6687535,24
106,2022_09_02_REH_lim_exp2_084,Litter,7,15,1.5,150,45407.8,5.944902,AB,2.1591825,2.88242925,2.924745,0.8609745,24
107,2022_09_02_REH_lim_exp2_085,Litter,8,15,1.5,150,19269.6,3.592464,AB,2.1591825,2.88242925,2.924745,-1.4914635,24
108,2022_09_02_REH_lim_exp2_086,Litter,9,15,1.5,150,30577.1,4.610139,AB,2.1591825,2.88242925,2.924745,-0.4737885,24
253,2022_09_06_REH_lim_exp2_052,Litter,1,25,0.25,25,35135.3,4.941724,A,6.220324,3.594198,3.580336,-4.858936,24
254,2022_09_06_REH_lim_exp2_053,Litter,2,25,0.25,25,31483.5,4.64958,A,6.220324,3.594198,3.580336,-5.15108,24
255,2022_09_06_REH_lim_exp2_054,Litter,3,25,0.25,25,20233.3,3.749564,A,6.220324,3.594198,3.580336,-6.051096,24
256,2022_09_06_REH_lim_exp2_055,Litter,4,25,0.25,25,19833.2,3.717556,A,6.220324,3.594198,3.580336,-6.083104,24
257,2022_09_06_REH_lim_exp2_056,Litter,5,25,0.25,25,31456.2,4.647396,A,6.220324,3.594198,3.580336,-5.153264,24
