"","data_file","niche","sample_no","temp","moist_level","peaka rea","ppm","Bag_ID","bag_avg","avg_blank","ppm_corrected"
"46","2022_09_02_REH_clim_exp2_015","Wood",1,"15 C",0.5,35536.2,5.056458,"AB",2.1591825,2.70956625,0.18770925
"47","2022_09_02_REH_clim_exp2_016","Wood",2,"15 C",0.5,42255.8,5.661222,"AB",2.1591825,2.70956625,0.79247325
"48","2022_09_02_REH_clim_exp2_017","Wood",3,"15 C",0.5,29571.9,4.519671,"AB",2.1591825,2.70956625,-0.349077749999999
"49","2022_09_02_REH_clim_exp2_018","Wood",4,"15 C",0.5,56759,6.96651,"AB",2.1591825,2.70956625,2.09776125
"50","2022_09_02_REH_clim_exp2_019","Wood",5,"15 C",0.5,14696.7,3.180903,"AB",2.1591825,2.70956625,-1.68784575
"51","2022_09_02_REH_clim_exp2_020","Wood",6,"15 C",0.5,52089.2,6.546228,"AB",2.1591825,2.70956625,1.67747925
"52","2022_09_02_REH_clim_exp2_021","Wood",7,"15 C",0.5,35643.3,5.066097,"AB",2.1591825,2.70956625,0.197348250000001
"53","2022_09_02_REH_clim_exp2_022","Wood",8,"15 C",0.5,61794,7.41966,"AB",2.1591825,2.70956625,2.55091125
"54","2022_09_02_REH_clim_exp2_023","Wood",9,"15 C",0.5,56689.4,6.960246,"AB",2.1591825,2.70956625,2.09149725
"55","2022_09_02_REH_clim_exp2_025","Wood",1,"15 C",1,63382.7,7.562643,"AB",2.1591825,2.70956625,2.69389425
"56","2022_09_02_REH_clim_exp2_026","Wood",2,"15 C",1,31710.1,4.712109,"AB",2.1591825,2.70956625,-0.15663975
"57","2022_09_02_REH_clim_exp2_027","Wood",3,"15 C",1,45958.5,5.994465,"AB",2.1591825,2.70956625,1.12571625
"58","2022_09_02_REH_clim_exp2_028","Wood",4,"15 C",1,70296.7,8.184903,"AB",2.1591825,2.70956625,3.31615425
"59","2022_09_02_REH_clim_exp2_029","Wood",5,"15 C",1,29308.3,4.495947,"AB",2.1591825,2.70956625,-0.37280175
"60","2022_09_02_REH_clim_exp2_030","Wood",6,"15 C",1,14323.7,3.147333,"AB",2.1591825,2.70956625,-1.72141575
"61","2022_09_02_REH_clim_exp2_031","Wood",7,"15 C",1,24611.1,4.073199,"AB",2.1591825,2.70956625,-0.795549749999999
"62","2022_09_02_REH_clim_exp2_032","Wood",8,"15 C",1,35356.7,5.040303,"AB",2.1591825,2.70956625,0.17155425
"63","2022_09_02_REH_clim_exp2_033","Wood",9,"15 C",1,53147.8,6.641502,"AB",2.1591825,2.70956625,1.77275325
"64","2022_09_02_REH_clim_exp2_035","Wood",1,"15 C",1.5,115085.1,12.215859,"AB",2.1591825,2.70956625,7.34711025
"65","2022_09_02_REH_clim_exp2_036","Wood",2,"15 C",1.5,33191.5,4.845435,"AB",2.1591825,2.70956625,-0.0233137499999998
"66","2022_09_02_REH_clim_exp2_037","Wood",3,"15 C",1.5,59549.1,7.217619,"AB",2.1591825,2.70956625,2.34887025
"67","2022_09_02_REH_clim_exp2_038","Wood",4,"15 C",1.5,45575.1,5.959959,"AB",2.1591825,2.70956625,1.09121025
"68","2022_09_02_REH_clim_exp2_039","Wood",5,"15 C",1.5,65550.6,7.757754,"AB",2.1591825,2.70956625,2.88900525
"69","2022_09_02_REH_clim_exp2_040","Wood",6,"15 C",1.5,44146.1,5.831349,"AB",2.1591825,2.70956625,0.96260025
"70","2022_09_02_REH_clim_exp2_041","Wood",7,"15 C",1.5,10514.5,2.804505,"AB",2.1591825,2.70956625,-2.06424375
"71","2022_09_02_REH_clim_exp2_042","Wood",8,"15 C",1.5,7790.5,2.559345,"AB",2.1591825,2.70956625,-2.30940375
"72","2022_09_02_REH_clim_exp2_043","Wood",9,"15 C",1.5,12871.1,3.016599,"AB",2.1591825,2.70956625,-1.85214975
"73","2022_09_02_REH_clim_exp2_048","Litter",1,"15 C",0.25,15431.5,3.247035,"AB",2.1591825,2.88242925,-1.79457675
"74","2022_09_02_REH_clim_exp2_049","Litter",2,"15 C",0.25,14573.5,3.169815,"AB",2.1591825,2.88242925,-1.87179675
"75","2022_09_02_REH_clim_exp2_050","Litter",3,"15 C",0.25,17384.6,3.422814,"AB",2.1591825,2.88242925,-1.61879775
"76","2022_09_02_REH_clim_exp2_051","Litter",4,"15 C",0.25,7063.7,2.493933,"AB",2.1591825,2.88242925,-2.54767875
"77","2022_09_02_REH_clim_exp2_052","Litter",5,"15 C",0.25,7615.4,2.543586,"AB",2.1591825,2.88242925,-2.49802575
"78","2022_09_02_REH_clim_exp2_053","Litter",6,"15 C",0.25,4792.8,2.289552,"AB",2.1591825,2.88242925,-2.75205975
"79","2022_09_02_REH_clim_exp2_054","Litter",7,"15 C",0.25,10895.6,2.838804,"AB",2.1591825,2.88242925,-2.20280775
"80","2022_09_02_REH_clim_exp2_055","Litter",8,"15 C",0.25,16869.3,3.376437,"AB",2.1591825,2.88242925,-1.66517475
"81","2022_09_02_REH_clim_exp2_056","Litter",9,"15 C",0.25,9713,2.73237,"AB",2.1591825,2.88242925,-2.30924175
