,ambient wet mass,median ambient WC,target WC,water loss rate at 35 C g/hr,dry mass,water needed to be lost,hrs of drying needed,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
